exp,plate,genotype,rep,label,pixel,mm
4,A,Col,1,2016pifgi2exp1a_Col.avi:0396-0175-0056:198.00 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0395-0175-0056:197.50 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0394-0175-0056:197.00 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0392-0175-0056:196.00 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0391-0175-0056:195.50 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0390-0175-0056:195.00 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0389-0175-0056:194.50 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0388-0175-0056:194.00 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0387-0175-0056:193.50 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0386-0175-0056:193.00 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0385-0175-0056:192.50 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0384-0175-0056:192.00 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0383-0175-0056:191.50 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0382-0175-0056:191.00 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0381-0175-0056:190.50 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0380-0175-0056:190.00 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0379-0175-0056:189.50 s,51.202,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0378-0176-0056:189.00 s,49.23,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0377-0176-0056:188.50 s,49.23,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0376-0176-0056:188.00 s,49.23,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0375-0176-0056:187.50 s,49.23,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0374-0176-0056:187.00 s,49.23,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0373-0176-0056:186.50 s,49.23,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0372-0176-0056:186.00 s,49.23,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0371-0177-0056:185.50 s,47.26,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0370-0177-0056:185.00 s,47.26,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0369-0177-0056:184.50 s,47.26,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0368-0177-0056:184.00 s,47.26,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0367-0177-0056:183.50 s,47.26,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0366-0177-0056:183.00 s,47.26,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0365-0177-0056:182.50 s,47.26,
