exp,plate,genotype,rep,label,pixel,mm
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0568-0119-0185:284.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0567-0119-0185:283.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0566-0119-0185:283.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0565-0119-0185:282.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0564-0119-0185:282.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0563-0119-0185:281.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0562-0119-0185:281.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0561-0119-0185:280.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0560-0119-0185:280.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0559-0119-0185:279.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0558-0119-0185:279.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0557-0119-0185:278.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0556-0119-0185:278.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0555-0119-0185:277.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0554-0119-0185:277.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0553-0119-0185:276.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0552-0119-0185:276.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0551-0119-0185:275.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0550-0119-0185:275.00 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0549-0119-0185:274.50 s,64.92,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0548-0120-0185:274.00 s,62.932,
